iter	RMSE
0	311039.5103
1	269480.9045
2	238033.5524
3	211682.4381
4	189373.5481
5	173660.7449
6	160855.4304
7	148309.212
8	139986.6439
9	133734.9685
10	127701.9689
11	123264.3314
12	119225.8862
13	116160.2091
14	113469.6625
15	110636.8923
16	108384.4437
17	106814.8814
18	105574.0316
19	104419.3542
20	103201.7219
21	101058.0604
22	98884.22509
23	98157.3811
24	97257.05861
25	96416.47396
26	95154.44222
27	94481.46723
28	93588.96276
29	92591.23834
30	91995.6311
31	91000.51323
32	90498.43165
33	89661.20433
34	89032.7983
35	88455.11703
36	87702.30847
37	87074.01084
38	86545.79645
39	85964.81588
40	85405.88768
41	84858.28532
42	84288.59254
43	83808.69819
44	83155.59738
45	82463.97954
46	82012.84011
47	81386.85379
48	80702.58271
49	80345.33421
50	79839.57767
51	79453.60495
52	78859.84645
53	78509.72709
54	78112.17882
55	77634.42049
56	77093.51471
57	76741.38573
58	76168.08679
59	75712.82603
60	75174.95554
61	74491.89197
62	74006.42148
63	73582.96981
64	73227.52408
65	72640.28634
66	72277.47715
67	71809.8755
68	71441.93912
69	70903.83762
70	70425.89679
71	69589.55329
72	69177.72132
73	68854.28256
74	68436.16329
75	68069.45588
76	67538.53475
77	67177.92073
78	66948.04825
79	66598.40247
80	66229.41485
81	65949.23134
82	65566.24353
83	65255.65074
84	64608.11421
85	64145.67543
86	63912.16506
87	63508.98253
88	63184.08545
89	62763.99908
90	62405.64994
91	62217.07281
92	61917.34684
93	61622.00576
94	61357.50065
95	61137.09594
96	60753.03406
97	60486.92205
98	60199.33912
99	59914.49765
100	59663.48404
101	59288.92957
102	58830.04104
103	58552.66296
104	58254.65104
105	58094.04033
106	57922.53264
107	57715.17741
108	57455.23831
109	57189.19751
110	57062.77417
111	56875.34996
112	56721.12908
113	56485.83312
114	56153.60952
115	55956.99959
116	55785.25704
117	55579.09745
118	55332.1781
119	54938.25829
120	54675.71014
121	54460.54407
122	54282.50655
123	54084.86449
124	53885.02466
125	53733.55837
126	53556.51659
127	53310.3231
128	53174.48643
129	52846.56443
130	52615.11124
131	52301.1175
132	52129.39163
133	51922.80028
134	51636.57194
135	51265.78687
136	51148.76574
137	50941.52994
138	50700.17751
139	50547.8488
140	50349.87544
141	50193.64461
142	49917.64872
143	49755.74842
144	49592.37553
145	49416.51866
146	49291.97536
147	49101.84257
148	48973.0635
149	48765.31623
150	48621.0258
151	48486.52513
152	48177.43891
153	48035.68432
154	47900.31518
155	47757.81654
156	47632.33817
157	47530.67276
158	47377.23959
159	47212.99683
160	47060.89905
161	46873.57313
162	46739.48508
163	46508.82964
164	46374.65226
165	46171.75001
166	46047.16824
167	45886.94685
168	45685.58053
169	45575.34683
170	45463.1956
171	45307.95319
172	45194.73047
173	45068.1229
174	44851.11406
175	44726.89948
176	44651.95784
177	44498.8919
178	44417.52564
179	44325.32399
180	44205.52961
181	44065.22831
182	43942.37328
183	43780.34493
184	43523.70513
185	43429.63037
186	43311.42162
187	43171.08709
188	43059.27932
189	42936.68543
190	42764.87515
191	42633.71377
192	42571.81938
193	42459.19209
194	42315.78656
195	42230.22062
196	42091.38134
197	41944.0558
198	41671.33832
199	41580.34162
200	41527.27476
201	41451.65366
202	41366.52006
203	41232.98501
204	41055.88257
205	40882.48955
206	40727.84155
207	40612.55883
208	40472.58147
209	40349.97657
210	40262.18833
211	40105.95456
212	39979.574
213	39777.17457
214	39657.40331
215	39583.70428
216	39509.52502
217	39344.16769
218	39257.18966
219	39172.63768
220	39019.27277
221	38941.21498
222	38803.42527
223	38706.14491
224	38638.81753
225	38532.77235
226	38435.3158
227	38330.76404
228	38233.61394
229	38142.93653
230	37988.08462
231	37748.22561
232	37690.16634
233	37577.04951
234	37449.70354
235	37345.70054
236	37249.46466
237	37086.66585
238	37004.73563
239	36922.57669
240	36837.77645
241	36786.20571
242	36653.488
243	36574.52029
244	36426.07946
245	36340.21466
246	36224.9602
247	36133.48857
248	35982.96743
249	35892.87478
250	35768.42532
251	35705.93852
252	35624.97529
253	35466.33816
254	35384.42515
255	35311.09142
256	35187.31334
257	35076.45234
258	34885.39829
259	34773.84726
260	34585.63557
261	34488.05787
262	34387.4302
263	34290.83365
264	34193.93222
265	34073.75876
266	33989.85289
267	33875.62566
268	33821.55414
269	33688.47091
270	33588.96987
271	33490.32317
272	33430.80831
273	33343.89453
274	33293.86795
275	33202.29527
276	33100.07532
277	33034.19075
278	32954.02349
279	32796.8141
280	32702.03276
281	32649.3843
282	32595.09985
283	32520.56775
284	32437.13839
285	32364.00434
286	32280.42196
287	32203.31339
288	32122.20023
289	32050.95409
290	31959.89674
291	31874.78071
292	31767.73868
293	31648.63549
294	31564.94552
295	31477.04886
296	31342.9244
297	31212.30964
298	31150.50174
299	31022.27244
