iter	Passed	Remaining
0	26	7875
1	40	5979
2	52	5190
3	60	4506
4	67	3980
5	72	3530
6	76	3202
7	80	2942
8	84	2735
9	89	2585
10	93	2454
11	97	2335
12	100	2212
13	104	2127
14	108	2060
15	112	1998
16	117	1953
17	121	1897
18	126	1865
19	129	1811
20	133	1776
21	138	1753
22	143	1724
23	147	1697
24	153	1683
25	157	1657
26	161	1636
27	165	1609
28	169	1584
29	173	1558
30	177	1541
31	181	1524
32	185	1503
33	189	1482
34	193	1466
35	197	1449
36	200	1426
37	204	1412
38	207	1391
39	212	1381
40	216	1368
41	220	1354
42	224	1340
43	228	1330
44	232	1319
45	236	1305
46	241	1298
47	245	1288
48	249	1275
49	252	1264
50	256	1252
51	260	1243
52	265	1235
53	269	1226
54	272	1212
55	276	1205
56	281	1198
57	284	1187
58	288	1180
59	292	1171
60	296	1163
61	300	1155
62	304	1146
63	309	1140
64	313	1132
65	317	1124
66	320	1113
67	324	1106
68	327	1097
69	331	1089
70	334	1080
71	338	1071
72	341	1062
73	345	1055
74	349	1049
75	354	1044
76	358	1037
77	362	1031
78	365	1023
79	369	1016
80	373	1010
81	377	1004
82	381	998
83	385	991
84	389	986
85	393	980
86	397	973
87	402	968
88	405	961
89	410	958
90	414	950
91	418	946
92	422	939
93	425	933
94	429	927
95	433	921
96	437	915
97	441	910
98	445	904
99	449	899
100	453	894
101	457	888
102	460	881
103	465	876
104	468	870
105	472	863
106	476	859
107	480	854
108	484	849
109	489	844
110	493	839
111	497	834
112	501	829
113	504	823
114	509	819
115	513	814
116	517	808
117	520	802
118	524	798
119	529	793
120	532	787
121	536	782
122	540	778
123	544	773
124	548	767
125	552	762
126	555	757
127	559	752
128	563	747
129	567	741
130	571	737
131	575	732
132	578	726
133	583	723
134	587	718
135	591	712
136	595	708
137	600	704
138	604	700
139	608	695
140	612	690
141	616	686
142	619	680
143	624	676
144	628	671
145	631	666
146	635	661
147	640	657
148	644	653
149	648	648
150	652	643
151	656	638
152	660	634
153	664	629
154	667	623
155	671	619
156	675	615
157	678	609
158	682	605
159	686	600
160	690	596
161	694	591
162	697	586
163	704	584
164	711	581
165	719	580
166	726	578
167	733	576
168	738	572
169	743	568
170	750	565
171	755	562
172	761	558
173	765	554
174	769	549
175	774	545
176	778	540
177	782	536
178	786	531
179	790	527
180	795	522
181	800	518
182	803	513
183	808	509
184	813	505
185	817	500
186	821	496
187	826	492
188	830	487
189	834	482
190	838	478
191	842	473
192	845	468
193	850	464
194	854	460
195	858	455
196	862	451
197	866	446
198	872	442
199	876	438
200	879	433
201	884	429
202	888	424
203	892	419
204	897	415
205	902	411
206	907	407
207	910	402
208	914	398
209	919	394
210	923	389
211	927	384
212	931	380
213	936	376
214	940	371
215	944	367
216	949	363
217	954	358
218	958	354
219	962	350
220	966	345
221	970	341
222	975	336
223	979	332
224	984	328
225	987	323
226	993	319
227	997	315
228	1002	310
229	1007	306
230	1012	302
231	1017	298
232	1021	293
233	1026	289
234	1030	285
235	1035	280
236	1038	276
237	1042	271
238	1046	267
239	1050	262
240	1054	258
241	1057	253
242	1061	249
243	1066	244
244	1070	240
245	1074	235
246	1078	231
247	1081	226
248	1085	222
249	1090	218
250	1095	213
251	1098	209
252	1103	204
253	1107	200
254	1111	196
255	1115	191
256	1119	187
257	1123	182
258	1126	178
259	1131	174
260	1134	169
261	1138	165
262	1142	160
263	1145	156
264	1150	151
265	1155	147
266	1159	143
267	1163	138
268	1167	134
269	1171	130
270	1175	125
271	1180	121
272	1184	117
273	1188	112
274	1192	108
275	1197	104
276	1201	99
277	1205	95
278	1209	91
279	1213	86
280	1217	82
281	1222	78
282	1226	73
283	1230	69
284	1234	64
285	1238	60
286	1242	56
287	1246	51
288	1250	47
289	1254	43
290	1257	38
291	1262	34
292	1266	30
293	1271	25
294	1274	21
295	1279	17
296	1283	12
297	1288	8
298	1292	4
299	1297	0
