iter	MultiClass
0	1.076934692
1	1.056990112
2	1.038560059
3	1.021482849
4	1.005526245
5	0.9906634521
6	0.9766043701
7	0.9634418945
8	0.9512437134
9	0.9396897583
10	0.9288604126
11	0.9185839844
12	0.9089071045
13	0.8999899902
14	0.8915137329
15	0.8830657959
16	0.8752773437
17	0.867946167
18	0.8608674927
19	0.8541746826
20	0.8478537598
21	0.8418301392
22	0.8361477661
23	0.8308659058
24	0.8257704468
25	0.820829895
26	0.815928833
27	0.8115802612
28	0.8072574463
29	0.8031287231
30	0.7990841675
31	0.7954400024
32	0.7916846924
33	0.7880531616
34	0.7847227783
35	0.7813685913
36	0.7780670776
37	0.7750531006
38	0.7722578125
39	0.7697288208
40	0.7672057495
41	0.7647866211
42	0.7621364136
43	0.7597634888
44	0.7576226196
45	0.7553347168
46	0.7531715698
47	0.7513685913
48	0.7494921265
49	0.7475498657
50	0.7457637939
51	0.7440598145
52	0.742449585
53	0.7407396851
54	0.7392360229
55	0.7380103149
56	0.7367592163
57	0.7353443604
58	0.7341836548
59	0.7328357544
60	0.7316021729
61	0.7306262207
62	0.7293413696
63	0.72819104
64	0.7270333252
65	0.7260645142
66	0.7252034912
67	0.724430542
68	0.723647522
69	0.7225862427
70	0.7216665649
71	0.7207003784
72	0.7199419556
73	0.7192122803
74	0.7183660278
75	0.7174833374
76	0.7167699585
77	0.7160413208
78	0.7153403931
79	0.7148173218
80	0.7141478271
81	0.7133753052
82	0.7127717285
83	0.7122327881
84	0.7115030518
85	0.7109763794
86	0.710453064
87	0.7099608154
88	0.7095343628
89	0.7089821777
90	0.7083839722
91	0.707963562
92	0.7075040283
93	0.707081665
94	0.7067154541
95	0.7062929688
96	0.7058783569
97	0.7054838257
98	0.70503479
99	0.7047150879
100	0.7043225098
101	0.7039017334
102	0.7034934082
103	0.7030479126
104	0.7027063599
105	0.7022040405
106	0.7018549194
107	0.7014840088
108	0.7011096802
109	0.7007528076
110	0.7003808594
111	0.7000038452
112	0.6996537476
113	0.6991575928
114	0.6988371582
115	0.698486145
116	0.6982230835
117	0.6979326172
118	0.6976080933
119	0.6973439331
120	0.6968842773
121	0.6966584473
122	0.6963942261
123	0.6960944824
124	0.6958751831
125	0.6955888062
126	0.6952229614
127	0.6949787598
128	0.6947295532
129	0.6943708496
130	0.6941210327
131	0.6939088135
132	0.6935656738
133	0.6932507935
134	0.6929109497
135	0.6926403809
136	0.6924174194
137	0.6920460205
138	0.6917180786
139	0.6914146118
140	0.6911430664
141	0.6909122314
142	0.690723999
143	0.6904755859
144	0.6902737427
145	0.6900742798
146	0.6898250122
147	0.6896288452
148	0.6894208984
149	0.689102356
150	0.6886835937
151	0.688430481
152	0.6882132568
153	0.68799646
154	0.6876706543
155	0.6874389648
156	0.6872366333
157	0.6869921265
158	0.6866757202
159	0.6864733887
160	0.6863012085
161	0.6861424561
162	0.6859033813
163	0.6857233276
164	0.6855403442
165	0.6853389893
166	0.685199707
167	0.6849946899
168	0.684814209
169	0.6846153564
170	0.6844414063
171	0.684217041
172	0.6838959351
173	0.6836959839
174	0.6833693848
175	0.6831281738
176	0.6828323364
177	0.6825436401
178	0.682371582
179	0.6821048584
180	0.6819460449
181	0.6817542114
182	0.681598938
183	0.6814023437
184	0.6812720337
185	0.6810749512
186	0.6808772583
187	0.6806759033
188	0.6804336548
189	0.6803005371
190	0.6800181885
191	0.6797481079
192	0.6794503174
193	0.6791086426
194	0.6789611816
195	0.6787310791
196	0.6786134644
197	0.6784111328
198	0.6781366577
199	0.6778643799
200	0.6776575928
201	0.6773765869
202	0.6772539063
203	0.6770355835
204	0.6768643799
205	0.6766635742
206	0.6764150391
207	0.6762191772
208	0.676128418
209	0.6758230591
210	0.6756975098
211	0.6754523926
212	0.6752761841
213	0.6750405273
214	0.6749142456
215	0.6746466675
216	0.6745550537
217	0.6744622803
218	0.6742728271
219	0.6739957275
220	0.6738759155
221	0.6736934204
222	0.6735609741
223	0.673404541
224	0.6732914429
225	0.6731481934
226	0.6729359131
227	0.6727747192
228	0.6726032715
229	0.6723590698
230	0.6722728882
231	0.6721816406
232	0.671991394
233	0.6717391968
234	0.6716125488
235	0.6714876099
236	0.6713069458
237	0.6710175781
238	0.670885437
239	0.670612915
240	0.6704279175
241	0.6702335205
242	0.670145874
243	0.6700063477
244	0.6698413086
245	0.6696608887
246	0.6695327759
247	0.6693012085
248	0.6691989136
249	0.669095459
250	0.6689667969
251	0.6685970459
252	0.6684335937
253	0.6682562256
254	0.6680585937
255	0.667755127
256	0.6675662842
257	0.6673529053
258	0.6671928711
259	0.6669442749
260	0.6668206787
261	0.6666061401
262	0.6664743652
263	0.6663010864
264	0.6661264648
265	0.6659966431
266	0.6658123169
267	0.6656939087
268	0.6655575562
269	0.6653311768
270	0.6650893555
271	0.6648475342
272	0.6646550293
273	0.6644924316
274	0.6643370972
275	0.6641036377
276	0.6639970703
277	0.6637641602
278	0.663630127
279	0.6635084229
280	0.6633693237
281	0.6631691284
282	0.6629710083
283	0.6627694092
284	0.662569397
285	0.6624071045
286	0.6621582031
287	0.6620539551
